unique_id,age,gender,data_collection_site,simulated_data,exclude_surveillance,exclude_aware_olsen_and_fazio,exclude_aware_olsen_and_fazio_modified,exclude_awareness_baranan_dehouwer_nosek,exclude_awareness_baranan_dehouwer_nosek_modified,sum_score_evaluation_CSpos_preferred,condition,surveillance_response_total_correct_responses,sum_score_filler_1,sum_score_filler_2,awareness_1_out_of_ordinary,awareness_1_systematic,awareness_1_words_and_images,awareness_2a_response,awareness_2_stim_paired_with_negative,awareness_2_stim_paired_with_positive,familiarity,mean_surveillance_response_total_correct_responses_by_site,sd_surveillance_response_total_correct_responses_by_site,fazio_and_olsen_criteria_scorer_1,fazio_and_olsen_modified_criteria_scorer_1,fazio_and_olsen_criteria_scorer_2,fazio_and_olsen_modified_criteria_scorer_2
Balas and Sarzynnska_1,31,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,CS1_USneg,426,81,55,moim zdaniem nie bylo tam nic niezwyklego,ksiazka i okulary oraz chyba beton i kufel pojawialy sie czesto obok siebie  chyba,nie zwrocilem uwagi na nic charakterystycznego,TRUE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_10,29,M,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,CS1_USpos,424,74,47,"byr,ndly ti nazwy pokemonow, tworzone w typowy gdla nich soposob, z laczenia 2 angielskich slow, chociaz w przypadku bergmite to tez niemieskie slowo berg  gora.","szklanka czesto pojawiala sie o obok blyszczacego kwadratu, ktorego nie zidentyfikowalem. ","slow nie czytalem, tylko szukalem ksztaltu szukanego slowa, np dlatego raz czy dwa pomylilem beton z bergmite.....",FALSE,4,2,6,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_101,22,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-6,CS1_USpos,428,65,54,"nie, chyba nie. slowa byly dosc nietypowe. nigdy wczesniej ich nie slyszalam. jednak slowa wypelniacze czasami zaczynaly sie podobnie lub w inny sposob mialy podobna budowe.","wiekszosc wypelniaczy pojawiajacych sie w zadaniach ppowtarzala sie. czesto na poczatku pojawial sie obraz z podpisem, pozniej inne wariacje. slowa wypelniacze pojawialy sie tez czesto w podobnej sekwencji badz zestawieniu.",wsrod nich byly zdjecia. dosc mozno wyrozniajace sie na tle slow i obrazkow. wiele z nich byla dosc negatywna. jak wylewajace sie scieki czy ddzownice.,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_102,30,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-2,CS1_USpos,428,69,57,wraz z obrazami pokazywaly sie slowa zwiazane z emocjami badz rzeczami codziennego uzytku ale aleznosci nie zauwazylam ,"docelowy obrazek zawsze gdy wystepowal to pojawial sie z wlasciwym podpisem, slowo opisujace te postac pojawialo sie rownie z samodzielnie","slowa opisujace postaci byly abstrakcyjne i trudne, wszystkie pozostale ktore pojawialy sie na ekranie mialy jakies znaczenie, czy to emocje czy przedmioty dnia codziennego",FALSE,3,4,1,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_103,22,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,CS1_USneg,423,73,52,"zauwazylam, ze trudno bylo sie skupic podczas gdzy pojawialy sie podobne do siebie obrazy ","zauwazylam, ze ze co kilka obrazkow pojawial sie obrazek z slowem okulary","nie zauwazylam, staralam sie skupic na nazwach",FALSE,2,5,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_104,19,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8,CS1_USneg,423,68,47,obrazy i slowa czesto sie powtarzaly,"nie jestem pewna, obrazy i slowa sie powtarzaly ane nie jestem w stanie stwierdzic czy regularnir","nie, nic charakterystycznego nie zaobserwowalam",FALSE,5,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_105,27,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,CS1_USneg,428,79,63,"sa to byty abstrakcyjne, nieobecne na codzien, zwiazane z pewna grupa zainteresowan , w tym wypadku to pokemony.",zauwazylem  proby konfrontacji miedzy wyborami z poprzednich porownan. chetniej siegalem po pokemony z i zadania.,zwiazek z uniwersum pokemon.,TRUE,1,5,8,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_106,27,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,10,CS1_USpos,430,59,57,"tak, jedno ze stworzen wystepowalo glownie z negatywnymi obrazkami.","tak, byly regularne wzorce pojawiajacych sie obrazow.back","backtak, jedna z postaci pojawiala sie tylko z negatywnymi obrazkami. backdruga pojawiala sie z pozytywnymi obrazami.back",TRUE,6,1,2,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_107,20,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,CS1_USpos,430,81,63,"na poczatku nie, dopiero przy postaci jangma,  zaczalem sie zastanawiac czy aby na pewno te wszystkie obrazki i slowa sa przypadkowe. nie doszedlem do zadnych wnioskow, ale mysle ze nie musialy byc do konca przypadkowe, jeszcze nie wiem dlaczego.","tak, zauwazalna byla pewna regularnosc niektorych slow i obrazkow. pojawialy sie obrazki kotre byly w parze ze soba.","kazde z tych slowek kojarzylo mi sie z jakims jezykiem, np. japonski angielski czy niemiecki",FALSE,5,2,2,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_108,20,f,Balas and Sarzynnska,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4,CS1_USpos,426,63,45,z pokemonem przypominajacym dynie wystepowaly w parze wylacznie negatywne przymiotniki. z kolei w parze z chemeletem wystepowaly przymiotniki pozytywne np. szlachetny,olowek i ksiazka czesto wystepowaly razem. suszarce czesto towbackarzyszyly okulary. ,"z pewnymi postaciami wystepowaly w parze slowa i obrazki negatywne, takie jak zdjecie dzdzownic, za to inne byly laczone z pozytywnymi przymiotnikami oraz zdjeciami jeziora",TRUE,6,1,5,426.22,3.33,TRUE,TRUE,TRUE,TRUE
